combination,iteration,particles,inertia,cognition,social,function,epochs,solution_x,solution_y,fitness,converged
1,5,40,0.1,1,1,2,38,0.876301355672325,3.100445391910771,0.027553486356469967,False
1,6,40,0.1,1,1,2,26,0.999999772064591,3.0000002401850727,1.102436365716904e-13,True
1,7,40,0.1,1,1,2,27,1.0076697922913336,2.9921548146931625,0.00012049569713036619,False
1,8,40,0.1,1,1,2,25,0.999999995321822,2.9999999997141904,1.205317204265719e-16,True
1,9,40,0.1,1,1,2,25,1.000000112210502,2.99999985345105,3.878430732272926e-14,True
1,10,40,0.1,1,1,2,23,1.0000004998440104,2.999999432724061,5.898342852030817e-13,True
1,11,40,0.1,1,1,2,25,0.9999999907990195,3.000000025967381,1.8834116950715813e-15,True
1,12,40,0.1,1,1,2,25,0.9999999557896291,3.00000003995437,3.623362767202412e-15,True
1,13,40,0.1,1,1,2,24,1.000001219645166,2.9999989810300076,2.686916277076434e-12,True
1,14,40,0.1,1,1,2,34,1.0057957869127925,2.993965698605647,7.023149588804243e-05,False
1,15,40,0.1,1,1,2,34,0.873734159203069,3.1433016737994137,0.0376393106902234,False
1,16,40,0.1,1,1,2,24,0.9999989261110954,3.0000012045789988,2.672567546064645e-12,True
1,17,40,0.1,1,1,2,25,0.9999998282794129,3.0000002210159766,8.805616356860879e-14,True
1,18,40,0.1,1,1,2,30,0.9999999990298216,3.0000000000550098,4.294406871398862e-18,True
1,19,40,0.1,1,1,2,25,0.9999997554089507,3.0000002248125575,1.1193022232980099e-13,True
2,0,40,0.2,1,1,1,143,0.9974207821035657,0.9948420832841985,6.656126679321482e-06,False
2,1,40,0.2,1,1,1,378,1.347329742856511,1.8165477181855583,0.12079427083067526,False
2,2,40,0.2,1,1,1,154,1.0002386884479546,1.0004777105460347,5.697983025579785e-08,False
2,3,40,0.2,1,1,1,278,0.999829219624775,0.9996576151233012,2.9238747317350208e-08,False
2,4,40,0.2,1,1,1,173,3.6466604003451946,13.299847526747318,7.005105552072182,False
2,5,40,0.2,1,1,1,918,1.7713005431417856,3.139726384522178,0.5953977099623435,False
2,6,40,0.2,1,1,1,102,1.272976481066031,1.6204813998956686,0.07451617429146824,False
2,7,40,0.2,1,1,1,999,3.446550589558039,11.879506633994263,5.985673095961571,False
2,8,40,0.2,1,1,1,500,1.1048239353617801,1.2210268916654121,0.01100334267190263,False
2,9,40,0.2,1,1,1,568,1.4422358410682907,2.081512329302045,0.19578807324711484,False
2,10,40,0.2,1,1,1,247,1.463786468534696,2.142670315402153,0.21509788842190097,False
2,11,40,0.2,1,1,1,999,4.757146250399877,22.631576481398355,14.116277004151689,False
2,12,40,0.2,1,1,1,178,5.579233501038149,31.131959728825557,20.971071355808355,False
2,13,40,0.2,1,1,1,999,1.8281854034049454,3.343265113189935,0.6859917122587507,False
2,14,40,0.2,1,1,1,464,1.890701066350849,3.574754656104534,0.7933483913073732,False
2,15,40,0.2,1,1,1,853,1.6876987412010402,2.8493491868220033,0.4730340368470956,False
2,16,40,0.2,1,1,1,465,2.3295124672515626,5.429502075396112,1.7684292389175165,False
2,17,40,0.2,1,1,1,83,0.9185949675722306,0.8436555828874519,0.006629375642579767,False
2,18,40,0.2,1,1,1,828,3.337322800387398,11.141226350047303,5.464304887281164,False
2,19,40,0.2,1,1,1,88,0.5308022764308742,0.28068728574944585,0.2202596646583571,False
3,0,40,0.2,1,1,2,27,0.999999993426542,3.0000000235636723,1.7531265206967906e-15,True
3,1,40,0.2,1,1,2,29,0.9999999846338625,3.000000036196725,3.2819746043372274e-15,True
3,2,40,0.2,1,1,2,27,0.9999998819894663,3.000000090816061,2.5132200296866898e-14,True
3,3,40,0.2,1,1,2,27,0.9999999929000437,3.000000001000732,2.0021298731835532e-16,True
3,4,40,0.2,1,1,2,26,0.9999993727552062,3.0000004884363447,7.090772365343207e-13,True
3,5,40,0.2,1,1,2,27,0.9999999605718097,2.999999935131415,4.927378519990717e-14,True
3,6,40,0.2,1,1,2,27,1.0000003267763669,2.9999998070337126,2.156393314667858e-13,True
