combination,iteration,particles,inertia,cognition,social,function,epochs,solution_x,solution_y,fitness,converged
1,11,40,0.5,1,0.1,2,137,0.9924821088390325,3.006749852060524,0.00010443872658635564,False
1,12,40,0.5,1,0.1,2,131,1.0152206691663974,2.9800163025606676,0.0007217626865348221,False
1,13,40,0.5,1,0.1,2,124,1.0000009240175944,2.9999988939068567,2.209856577313793e-12,True
1,14,40,0.5,1,0.1,2,137,1.0014760169045163,2.9984050162914384,4.779211334853704e-06,False
1,15,40,0.5,1,0.1,2,125,1.0000001926942474,2.9999999967161184,1.8064700320048051e-13,True
1,16,40,0.5,1,0.1,2,147,0.9330560669656465,3.057920451745767,0.008161961758803585,False
1,17,40,0.5,1,0.1,2,155,1.0300854601212708,2.9722629313055293,0.001696539659644215,False
1,18,40,0.5,1,0.1,2,134,0.9999897944682754,3.000011913621857,2.577575511364882e-10,False
1,19,40,0.5,1,0.1,2,135,0.9996953073095565,3.0002111908520157,1.7240958674272261e-07,False
2,0,40,0.5,1,0.2,1,999,0.9999999999999999,0.9999999999999998,1.232595164407831e-32,True
2,1,40,0.5,1,0.2,1,999,1.000000000000016,1.0000000000000315,2.753124559221331e-28,True
2,2,40,0.5,1,0.2,1,999,0.9995430391191275,0.9990849894399978,2.089816262092951e-07,False
2,3,40,0.5,1,0.2,1,999,1.0000000000000002,1.0000000000000004,4.930380657631324e-32,True
2,4,40,0.5,1,0.2,1,999,0.9999999999999998,0.9999999999999996,4.930380657631324e-32,True
2,5,40,0.5,1,0.2,1,999,2.3526235027994837,5.535363646911379,1.8296180395984225,False
2,6,40,0.5,1,0.2,1,999,4.723734774268463,22.31493779579998,13.86636134453711,False
2,7,40,0.5,1,0.2,1,999,1.3274754394196275,1.762388089854234,0.10724404619842552,False
2,8,40,0.5,1,0.2,1,999,1.000000000000001,1.0000000000000022,1.232595164407831e-30,True
2,9,40,0.5,1,0.2,1,999,1.0,1.0,0.0,True
2,10,40,0.5,1,0.2,1,999,1.0000000000000002,1.0000000000000004,4.930380657631324e-32,True
2,11,40,0.5,1,0.2,1,999,1.0000000164923173,1.0000000330493704,2.7241559872810004e-16,True
2,12,40,0.5,1,0.2,1,999,1.7613855314510476,3.1037401287991955,0.5798669745079029,False
2,13,40,0.5,1,0.2,1,999,0.9999999999999999,0.9999999999999998,1.232595164407831e-32,True
2,14,40,0.5,1,0.2,1,999,1.0000000003041503,1.0000000006100074,9.27987170223665e-20,True
2,15,40,0.5,1,0.2,1,999,2.832242914722805,8.022604467844442,3.3572150085823234,False
2,16,40,0.5,1,0.2,1,999,2.8501368525886375,8.123147022538035,3.423008143695062,False
2,17,40,0.5,1,0.2,1,999,2.0593173340592648,4.24274173964491,1.1225349700685965,False
2,18,40,0.5,1,0.2,1,72,0.6016135849384096,0.36106283793835336,0.15878848515732824,False
2,19,40,0.5,1,0.2,1,999,1.0151521357247602,1.0305654609052206,0.00022968708717050414,False
3,0,40,0.5,1,0.2,2,53,1.000000906547869,2.99999882422851,2.4941930688751465e-12,True
3,1,40,0.5,1,0.2,2,61,1.000000613405107,2.9999995310597427,6.796511617711347e-13,True
3,2,40,0.5,1,0.2,2,52,1.000000021021707,3.000000127772586,1.0532671209242878e-13,True
